Institute ID,Name,City,State,Score,Rank,Stream
IR-E-U-0092,National Institute of Technology Raipur,Raipur,Chhattisgarh,48.88,71,Engineering
IR-E-U-0284,Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,48.86,72,Engineering
IR-E-U-0946,Indian Institute of Technology Bhilai,Raipur,Chhattisgarh,48.8,73,Engineering
IR-E-U-0221,International Institute of Information Technology Bangalore,Bengaluru,Karnataka,48.61,74,Engineering
IR-E-C-1331,M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,48.33,75,Engineering
IR-E-U-0384,Sant Longowal Institute of Engineering and Technology,Longowal,Punjab,48.22,76,Engineering
IR-E-C-41593,COEP Technological University,Pune,Maharashtra,47.89,77,Engineering
IR-E-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,47.86,78,Engineering
IR-E-U-0197,National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,47.76,79,Engineering
IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,47.43,80,Engineering
IR-E-U-0172,National Institute of Technology Kurukshetra,Kurukshetra,Haryana,46.79,81,Engineering
IR-E-U-0493,National Institute of Technology Agartala,Agratala,Tripura,46.69,82,Engineering
IR-E-C-36995,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,46.53,83,Engineering
IR-E-U-0739,Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,46.39,84,Engineering
IR-E-U-0105,Indraprastha Institute of Information Technology,New Delhi,Delhi,46.32,85,Engineering
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,46.23,86,Engineering
IR-E-U-0516,Indian Institute of Information Technology Allahabad,Prayagraj,Uttar Pradesh,45.84,87,Engineering
IR-E-U-0017,Jawaharlal Nehru Technological University,Hyderabad,Telangana,45.78,88,Engineering
IR-E-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,45.64,89,Engineering
IR-E-C-24004,AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,45.6,90,Engineering
IR-E-U-0043,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,45.43,91,Engineering
IR-E-U-0190,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,45.4,92,Engineering
IR-E-U-0217,Christ University,Bengaluru,Karnataka,45.02,93,Engineering
IR-E-U-0373,Chitkara University,Rajpura,Punjab,44.82,94,Engineering
IR-E-U-0223,"Jain University, Bangalore",Bengaluru,Karnataka,44.61,95,Engineering
IR-E-C-30045,"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,44.55,96,Engineering
IR-E-U-0621,National Institute of Technology Puducherry,Karaikal,Pondicherry,44.38,97,Engineering
IR-E-C-19754,SR University,Warangal,Telangana,44.29,98,Engineering
IR-E-C-1269,R.V. College of Engineering,Bengaluru,Karnataka,44.26,99,Engineering
IR-E-C-1297,Siddaganga Institute of Technology,Tumkur,Karnataka,43.95,100,Engineering
